Role,Firstname,Lastname,Accountname,,Password,OU
Don,Miguel,Rodriguez,mrodriguez,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Don,Gilberto,Rodriguez,grodtiguez,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Don,Pacho,Herrera,pherrera,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Don,Chepe,Santacruz,csantagruz,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Enforcer,David,Rodriguez,drodriguez,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Jorge,Velasquez,jvalasquez,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Franklin,Jurado,fjurado,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Fernando,Castillo,fcastillo,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Security,Jorge,Salcedo,jsalcedo,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Security,Enrique,Sanchez,esanchez,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Security,Ramon,Santos,rsantos,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Mule,Nicolas,Rodriguez,nrodriguez,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Mule,Alan,Starkman,astarkman,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Mule,Dario,Farquo,dfarquo,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Accountant,Guillermo,Pallomari,gpallomari,,password1!,"OU=Accountant,DC=CALI,DC=CARTEL"
Accountant,Carlo,Cordova,ccordova,,password1!,"OU=Accountant,DC=CALI,DC=CARTEL"
Corrupt Cop,Phillipe,Sanchez,psanchez,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
Corrupt Cop,Juan,Carlos,jcarlos,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
Corrupt Cop,Andres,Felipe,afelipe,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
