Role,Firstname,Lastname,Accountname,,Password,OU
Don,Miguel,Gallardo,mgallardo,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Enforcer,El,Chapo,echapo,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Enforcer,Victor,Molina,vmolina,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Enforcer,Alberto,Falcon,afalcon,,password1!,"OU=Don,DC=CALI=,DC=CARTEL"
Enforcer,Sammy,Alvarez,salvarez,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Juan,Cochiloco,jcochiloco,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Rancho,Bufalo,rbufalo,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Enforcer,Alfredo,Zavala,azavala,,password1!,"OU=Enforcer,DC=CALI=,DC=CARTEL"
Security,Cuco,Rica,crica,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Security,Manuel,Felix,mfelix,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Security,Carlos,Portal,cportal,,password1!,"OU=Security,DC=CALI,DC=CARTEL"
Mule,Juan,Pablo,jpablo,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Mule,Miguel,Hernandez,mhernandez,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Mule,Filipe,Limon,flimon,,password1!,"OU=Mule,DC=CALI,DC=CARTEL"
Accountant,Rafael,Sincaro,rsincaro,,password1!,"OU=Accountant,DC=CALI,DC=CARTEL"
Accountant,Guadalupe,Pablo,gpablo,,password1!,"OU=Accountant,DC=CALI,DC=CARTEL"
Corrupt Cop,Angel,Jose,ajose,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
Corrupt Cop,Diego,Luna,dluna,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
Corrupt Cop,Gabriel,Roman,groman,,password1!,"OU=Corrupt Cop,DC=CALI,DC=CARTEL"
